particle_id,vx,vy,vz,px,py,pz,q,nhits
4503737066323968,0.000308479,0.000957728,4.53842,-0.148505,0.0360591,0.171901,-1,6
4504011944230912,0.000308479,0.000957728,4.53842,16.8856,-8.66775,23.6689,1,14
4504149383184384,0.000308479,0.000957728,4.53842,2.46582,0.056348,5.91209,-1,11
4504355541614592,0.000308479,0.000957728,4.53842,0.102006,0.330787,3.51563,-1,12
4504424261091328,0.000308479,0.000957728,4.53842,-1.12723,1.52012,-40.3669,-1,13
4504492980568064,0.000308479,0.000957728,4.53842,-0.783695,-0.0931748,-5.14563,1,13
4504561700044800,0.000308479,0.000957728,4.53842,1.43259,-0.055686,0.0339621,-1,12
4504630419521536,0.000308479,0.000957728,4.53842,1.70909,-0.0739244,0.434364,1,12
4504699138998272,0.000308479,0.000957728,4.53842,-0.0717098,0.92171,0.235176,1,12
4504767858475008,0.000308479,0.000957728,4.53842,0.169855,0.937315,-1.61654,-1,10
4504836577951744,0.000308479,0.000957728,4.53842,-0.162319,-0.0524958,0.101616,1,10
4504974016905216,0.000308479,0.000957728,4.53842,0.184933,-0.799343,0.824614,-1,11
4505042736381952,0.000308479,0.000957728,4.53842,0.997133,-1.15117,1.45627,1,12
4505180175335424,0.000308479,0.000957728,4.53842,-0.0881775,-0.979755,0.393551,-1,12
4505248894812160,0.000308479,0.000957728,4.53842,-0.0894344,0.0862801,0.321066,-1,0
4505386333765632,0.000308479,0.000957728,4.53842,-2.52922,47.2962,384.171,-1,14
4505455053242368,0.000308479,0.000957728,4.53842,-0.279769,2.93452,23.9712,1,12
4505523772719104,0.000308479,0.000957728,4.53842,-0.57564,2.49356,23.1787,-1,10
4505592492195840,0.000308479,0.000957728,4.53842,-0.434385,3.73453,33.157,1,13
4505661211672576,0.000308479,0.000957728,4.53842,0.222929,2.732,21.7668,-1,12
4505798650626048,0.000308479,0.000957728,4.53842,0.255067,0.066321,1.17458,-1,11
4505867370102784,0.000308479,0.000957728,4.53842,-1.14236,-2.08663,-15.5402,-1,13
4505936089579520,0.000308479,0.000957728,4.53842,-1.4096,-1.8151,-17.0627,1,11
4506073528532992,0.000308479,0.000957728,4.53842,-0.999803,-0.911578,-11.0822,-1,10
4506142248009728,0.000308479,0.000957728,4.53842,-1.4288,-2.94942,-35.5245,1,14
4506210967486464,0.000308479,0.000957728,4.53842,-0.145641,0.123933,-4.14252,-1,14
4506279686963200,0.000308479,0.000957728,4.53842,-0.654446,-1.35625,-8.1702,1,13
4506348406439936,0.000308479,0.000957728,4.53842,-0.140141,0.0282601,-2.32071,-1,0
4506417125916672,0.000308479,0.000957728,4.53842,-7.409,-4.52998,-38.1358,1,13
4506485845393408,0.000308479,0.000957728,4.53842,1.34845,-0.926342,15.992,1,13
4506554564870144,0.000308479,0.000957728,4.53842,0.150556,0.154509,1.58228,-1,13
4506623284346880,0.000308479,0.000957728,4.53842,-0.276964,0.0928361,-3.45593,-1,11
4506760723300352,0.000308479,0.000957728,4.53842,0.602275,0.599043,-6.42491,1,11
4506829442777088,0.000308479,0.000957728,4.53842,-0.0488787,0.103666,-0.437227,-1,0
4506898162253824,0.000308479,0.000957728,4.53842,-0.0929155,0.233243,-1.23331,-1,13
4506966881730560,0.000308479,0.000957728,4.53842,0.633262,0.976402,-3.22369,1,6
4507035601207296,0.000308479,0.000957728,4.53842,0.456094,0.0212726,-7.36852,-1,13
