1.2385,2.8502,0.0370,3.1138,3.6333,1.5968,2.5020,1.8901,2.4791,2.9259,6.2526,0.6813,0.2846,1.7111,3.8565,2.6798,0.5444,4.6502,3.9417,
1.2391,2.8491,0.0391,3.1143,3.6341,1.5942,2.5019,1.8901,2.4793,2.9256,6.2545,0.6811,0.2845,1.7110,3.8566,2.6851,0.5443,4.6502,3.9416,
1.2405,2.8475,0.0402,3.1144,3.6362,1.5916,2.5019,1.8901,2.4793,2.9262,6.2575,0.6815,0.2845,1.7110,3.8566,2.6909,0.5443,4.6502,3.9416,
1.2425,2.8473,0.0405,3.1101,3.6377,1.5881,2.5019,1.8901,2.4753,2.9262,6.2599,0.6847,0.2845,1.7111,3.8566,2.6952,0.5443,4.6502,3.9416,
1.2431,2.8455,0.0412,3.1116,3.6384,1.5847,2.5018,1.8900,2.4769,2.9261,6.2642,0.6841,0.2846,1.7111,3.8567,2.6984,0.5444,4.6501,3.9415,
1.2429,2.8439,0.0416,3.1099,3.6386,1.5834,2.5018,1.8899,2.4746,2.9263,6.2654,0.6869,0.2845,1.7111,3.8567,2.6990,0.5445,4.6501,3.9416,
1.2427,2.8423,0.0436,3.1123,3.6380,1.5814,2.5018,1.8900,2.4776,2.9264,6.2685,0.6846,0.2845,1.7111,3.8567,2.7034,0.5445,4.6501,3.9417,
1.2428,2.8418,0.0441,3.1122,3.6378,1.5807,2.5019,1.8900,2.4776,2.9264,6.2674,0.6849,0.2845,1.7112,3.8568,2.7086,0.5445,4.6502,3.9417,
1.2440,2.8408,0.0442,3.1111,3.6382,1.5778,2.5020,1.8899,2.4764,2.9261,6.2691,0.6860,0.2846,1.7113,3.8568,2.7128,0.5444,4.6503,3.9416,
1.2424,2.8409,0.0457,3.1095,3.6380,1.5776,2.5018,1.8899,2.4712,2.9256,6.2761,0.6902,0.2846,1.7113,3.8567,2.7211,0.5444,4.6502,3.9417,
1.2424,2.8399,0.0459,3.1097,3.6383,1.5771,2.5018,1.8900,2.4715,2.9259,6.2775,0.6898,0.2846,1.7114,3.8567,2.7263,0.5444,4.6502,3.9417,
1.2422,2.8401,0.0461,3.1088,3.6378,1.5757,2.5018,1.8899,2.4695,2.9256,6.2801,0.6919,0.2845,1.7114,3.8566,2.7292,0.5445,4.6502,3.9417,
1.2434,2.8394,0.0469,3.1082,3.6373,1.5735,2.5018,1.8899,2.4686,2.9261,6.2822,0.6923,0.2845,1.7114,3.8566,2.7357,0.5444,4.6502,3.9418,
1.2438,2.8390,0.0477,3.1088,3.6375,1.5728,2.5018,1.8899,2.4688,2.9264,0.0004,0.6926,0.2845,1.7114,3.8566,2.7414,0.5444,4.6503,3.9418,
1.2443,2.8384,0.0487,3.1078,3.6374,1.5716,2.5018,1.8899,2.4676,2.9262,0.0005,0.6928,0.2845,1.7114,3.8566,2.7488,0.5445,4.6503,3.9418,
1.2443,2.8384,0.0482,3.1088,3.6377,1.5711,2.5018,1.8899,2.4693,2.9262,0.0017,0.6915,0.2845,1.7114,3.8566,2.7510,0.5445,4.6502,3.9416,
1.2449,2.8376,0.0490,3.1086,3.6387,1.5698,2.5017,1.8900,2.4700,2.9265,0.0018,0.6905,0.2845,1.7114,3.8565,2.7575,0.5444,4.6502,3.9417,
1.2457,2.8370,0.0491,3.1084,3.6382,1.5681,2.5017,1.8900,2.4699,2.9266,0.0020,0.6901,0.2845,1.7113,3.8564,2.7616,0.5444,4.6502,3.9417,
1.2466,2.8365,0.0496,3.1072,3.6388,1.5649,2.5016,1.8900,2.4696,2.9269,0.0058,0.6908,0.2845,1.7114,3.8565,2.7672,0.5444,4.6502,3.9418,
1.2464,2.8359,0.0523,3.1065,3.6390,1.5646,2.5016,1.8900,2.4681,2.9279,0.0065,0.6925,0.2846,1.7114,3.8565,2.7773,0.5444,4.6503,3.9417,
1.2471,2.8338,0.0528,3.1062,3.6386,1.5636,2.5016,1.8900,2.4687,2.9279,0.0081,0.6928,0.2846,1.7114,3.8565,2.7837,0.5444,4.6502,3.9417,
1.2474,2.8330,0.0533,3.1059,3.6392,1.5621,2.5016,1.8900,2.4673,2.9278,0.0096,0.6934,0.2846,1.7113,3.8566,2.7872,0.5444,4.6502,3.9416,
1.2480,2.8325,0.0545,3.1040,3.6395,1.5609,2.5016,1.8899,2.4658,2.9279,0.0093,0.6951,0.2846,1.7114,3.8566,2.7956,0.5444,4.6502,3.9416,
1.2490,2.8289,0.0564,3.1039,3.6431,1.5588,2.5016,1.8900,2.4658,2.9295,0.0079,0.6955,0.2846,1.7114,3.8566,2.8108,0.5445,4.6503,3.9416,
1.2490,2.8278,0.0579,3.1034,3.6432,1.5588,2.5015,1.8900,2.4653,2.9295,0.0062,0.6961,0.2846,1.7113,3.8566,2.8181,0.5444,4.6503,3.9415,
1.2497,2.8263,0.0585,3.1047,3.6438,1.5565,2.5015,1.8899,2.4672,2.9298,0.0088,0.6942,0.2846,1.7114,3.8566,2.8217,0.5445,4.6503,3.9414,
1.2501,2.8263,0.0583,3.1049,3.6435,1.5547,2.5015,1.8899,2.4679,2.9302,0.0096,0.6933,0.2846,1.7113,3.8566,2.8215,0.5445,4.6503,3.9414,
1.2508,2.8236,0.0594,3.1025,3.6453,1.5531,2.5014,1.8899,2.4658,2.9307,0.0084,0.6963,0.2845,1.7113,3.8565,2.8282,0.5443,4.6504,3.9415,
1.2512,2.8233,0.0593,3.1026,3.6455,1.5503,2.5014,1.8900,2.4663,2.9305,0.0101,0.6960,0.2845,1.7113,3.8565,2.8307,0.5443,4.6504,3.9416,
1.2523,2.8212,0.0590,3.1018,3.6456,1.5474,2.5014,1.8900,2.4649,2.9308,0.0110,0.6969,0.2846,1.7114,3.8566,2.8324,0.5443,4.6504,3.9416,
