3.722566,0.465685,0.101012,1.280330,6.211363,2.643366,0.124205,3.118173,4.585592,1.424517,1.898084,2.413573,1.529587,0.426509,0.227914,
3.730461,0.425464,0.070355,1.255815,6.162142,2.595992,0.105516,3.135835,4.536569,1.474545,1.945120,2.460318,1.562829,0.386987,0.178008,
3.706120,0.381268,0.084319,1.219502,6.112876,2.564001,0.079670,3.166018,4.487224,1.522330,1.983079,2.496865,1.603283,0.345375,0.128898,
3.671463,0.335000,0.102640,1.182678,6.068778,2.530299,0.050749,3.200493,4.437591,1.567775,2.021174,2.533164,1.640226,0.310384,0.086134,
3.683975,0.346287,0.126722,1.144673,6.025039,2.503974,0.029577,3.232679,4.449118,1.613250,2.053838,2.567279,1.678162,0.274903,0.041214,
3.680031,0.349110,0.145168,1.112851,5.985457,2.483486,0.014154,3.257824,4.454011,1.654049,2.081286,2.600770,1.711252,0.235103,0.004429,
3.656013,0.325303,0.166013,1.085559,5.950148,2.463377,0.008396,3.284746,4.430687,1.689649,2.105694,2.637637,1.729410,0.194951,-0.003860,
3.624275,0.304268,0.185381,1.060707,5.920452,2.445128,-0.003586,3.316953,4.410236,1.723877,2.125053,2.672265,1.745868,0.158533,-0.004604,
3.587021,0.279558,0.205253,1.037716,5.899171,2.438205,-0.009289,3.344006,4.386345,1.753527,2.131424,2.706622,1.758752,0.125830,-0.001435,
3.549117,0.257492,0.224991,1.016870,5.883981,2.423434,-0.014043,3.370704,4.364785,1.779844,2.139979,2.740238,1.768907,0.095040,0.004780,
3.525322,0.228993,0.250012,1.000716,5.863178,2.421957,-0.013393,3.380134,4.336617,1.798606,2.144659,2.775060,1.778200,0.061454,0.013436,
3.500006,0.193874,0.278330,0.988836,5.834080,2.439948,-0.011652,3.385492,4.301753,1.811339,2.125998,2.805681,1.784632,0.024757,0.033101,
3.481425,0.158293,0.306687,0.977031,5.813097,2.445408,0.003403,3.387297,4.266239,1.821641,2.103303,2.841364,1.788937,-0.015324,0.053794,
3.455836,0.123340,0.333696,0.964910,5.792916,2.451099,0.017806,3.391293,4.230621,1.830096,2.081852,2.876768,1.792858,-0.049792,0.076506,
3.441965,0.086312,0.362140,0.950570,5.773263,2.455292,0.035420,3.388555,4.192874,1.836352,2.061367,2.910808,1.794875,-0.077402,0.101212,
3.435009,0.050228,0.383127,0.937756,5.755068,2.464683,0.038455,3.382760,4.156567,1.844245,2.039092,2.928632,1.798156,-0.093589,0.125694,
3.414940,0.017935,0.401595,0.926622,5.738882,2.477892,0.040634,3.378463,4.123587,1.851664,2.015452,2.945591,1.801008,-0.101509,0.151170,
3.393770,-0.014362,0.421213,0.916060,5.723654,2.491249,0.044741,3.373708,4.091032,1.857703,1.991431,2.957616,1.804132,-0.107160,0.177654,
3.377546,-0.046547,0.439359,0.905639,5.713326,2.501225,0.050345,3.377176,4.059045,1.862578,1.970908,2.963713,1.806903,-0.106802,0.203027,
3.370931,-0.075958,0.457029,0.896651,5.702043,2.508744,0.055620,3.380996,4.030946,1.866063,1.953465,2.966517,1.808144,-0.101927,0.226058,
3.374302,-0.105769,0.470989,0.890700,5.692615,2.514149,0.055582,3.386098,4.002797,1.870062,1.939132,2.964220,1.811996,-0.093999,0.246367,
3.370963,-0.136945,0.479068,0.885210,5.677813,2.513370,0.049758,3.388632,3.977694,1.875694,1.927465,2.957170,1.820084,-0.080457,0.265653,
3.361798,-0.168181,0.481349,0.882079,5.660502,2.508214,0.031662,3.387664,3.955848,1.882753,1.919148,2.939960,1.831276,-0.073519,0.281483,
3.341871,-0.196524,0.483518,0.881487,5.634680,2.501965,0.013898,3.372073,3.933518,1.890261,1.909211,2.930441,1.844641,-0.067141,0.293030,
