0.2045, -0.1530, -0.0913, 0.1492, -0.0094, -0.2089, 0.1675, 0.2643
0.2055, -0.1540, -0.0923, 0.1482, -0.0084, -0.2099, 0.1665, 0.2633
0.2065, -0.1550, -0.0933, 0.1472, -0.0074, -0.2109, 0.1655, 0.2623
0.2075, -0.1559, -0.0943, 0.1462, -0.0064, -0.2119, 0.1646, 0.2613
0.2085, -0.1569, -0.0952, 0.1452, -0.0054, -0.2129, 0.1636, 0.2603
0.2095, -0.1579, -0.0962, 0.1442, -0.0044, -0.2139, 0.1626, 0.2593
0.2105, -0.1589, -0.0973, 0.1432, -0.0034, -0.2148, 0.1616, 0.2583
0.2115, -0.1599, -0.0983, 0.1422, -0.0024, -0.2158, 0.1606, 0.2573
0.2125, -0.1609, -0.0993, 0.1412, -0.0014, -0.2168, 0.1596, 0.2564
0.2135, -0.1619, -0.1003, 0.1402, -0.0004, -0.2178, 0.1586, 0.2554
0.2145, -0.1629, -0.1013, 0.1393, 0.0006, -0.2188, 0.1576, 0.2544
0.2155, -0.1639, -0.1023, 0.1383, 0.0015, -0.2198, 0.1566, 0.2534
0.2165, -0.1649, -0.1033, 0.1373, 0.0025, -0.2208, 0.1556, 0.2525
0.2174, -0.1659, -0.1043, 0.1363, 0.0035, -0.2218, 0.1546, 0.2515
0.2184, -0.1668, -0.1054, 0.1354, 0.0045, -0.2227, 0.1535, 0.2505
0.2194, -0.1678, -0.1064, 0.1344, 0.0055, -0.2237, 0.1525, 0.2495
0.2204, -0.1688, -0.1074, 0.1334, 0.0065, -0.2247, 0.1515, 0.2486
0.2214, -0.1698, -0.1084, 0.1325, 0.0075, -0.2257, 0.1505, 0.2476
0.2224, -0.1708, -0.1094, 0.1315, 0.0085, -0.2267, 0.1495, 0.2466
0.2234, -0.1717, -0.1105, 0.1305, 0.0094, -0.2276, 0.1484, 0.2457
0.2244, -0.1727, -0.1115, 0.1296, 0.0104, -0.2286, 0.1474, 0.2447
0.2253, -0.1736, -0.1126, 0.1286, 0.0114, -0.2295, 0.1463, 0.2438
0.2263, -0.1746, -0.1136, 0.1277, 0.0124, -0.2305, 0.1453, 0.2428
0.2273, -0.1756, -0.1145, 0.1267, 0.0133, -0.2315, 0.1444, 0.2419
0.2282, -0.1765, -0.1155, 0.1258, 0.0143, -0.2324, 0.1434, 0.2409
0.2292, -0.1775, -0.1164, 0.1248, 0.0153, -0.2334, 0.1425, 0.2400
